;Original items;Corresponding items in SUS-DK
 1 ; I think that I would like to use this system frequently ; Jeg tror godt, at jeg kunne tænke mig at bruge systemet ofte
 2 ; I found the system unnecessarily complex ; Jeg synes, at systemet var unødigt kompliceret at bruge
 3 ; I thought the system was easy to use ; Jeg synes, at systemet var nemt at bruge
 4 ; I think that I would need the support of a technical person to be able to use this system ; Jeg tror, at jeg ville få brug for support fra en tekniker for at kunne bruge systemet
 5 ; I found the various functions in this system were well integrated ; Jeg synes, at mange af systemets funktioner var godt integreret med hinanden
 6 ; I thought there was too much inconsistency in this system ; Jeg synes, at systemet var usammenhængende
 7 ; I would imagine that most people would learn to use this system very quickly ; Jeg tror, at de fleste hurtigt kan lære at bruge dette system
 8 ; I found the system very cumbersome to use ; Jeg synes, at systemet var meget besværligt at bruge
 9 ; I felt very confident using the system ; Jeg følte mig sikker på, at jeg kunne bruge systemet
 10 ; I needed to learn a lot of things before I could get going with this system ; Jeg var nødt til at lære en masse ting, for at komme i gang med at bruge systemet 
