ID;Condition;Age;Sex;STAI_S_Y_PRE;SSS_total;BART;STAI_S_Y_DURING;STAI_S_Y_POST;Cycling_Frequency;Helmet_Use_Likelihood
1;2;30;2;30;30;5;25;16;3;5
2;1;26;2;34;27;8129;34;37;1;0
3;1;26;2;45;12;7713;50;41;1;0
4;2;26;1;27;27;677;32;28;2;1
5;1;27;1;24;23;2739;27;26;1;0
6;1;19;2;30;12;2664;28;26;2;5
7;2;18;2;29;25;1688;31;30;4;2
7;2;18;2;29;25;1688;31;30;4;2
8;1;21;3;28;12;2056;32;22;1;0
9;1;35;1;34;23;3064;33;34;4;7
10;1;27;2;32;31;6147;31;28;4;4
11;1;26;2;36;24;2056;30;32;2;1
12;2;27;1;25;16;2938;24;25;4;2
13;2;22;1;29;22;2982;27;23;2;6
14;2;24;2;24;27;3939;25;25;1;0
15;2;34;1;28;25;3906;28;26;1;0
16;1;19;1;26;20;4973;30;23;2;1
17;1;24;2;34;18;5658;27;29;6;7
18;2;7;2;38;11;1817;27;32;6;0
19;2;40;1;;18;3733;;;2;0
20;2;18;2;32;18;2404;28;30;2;2
21;2;42;1;31;26;5044;29;30;1;0
22;1;31;1;28;28;4332;25;24;2;1
23;2;56;2;27;19;2656;26;26;3;1
24;2;35;1;37;13;4283;37;34;4;7
25;1;26;1;38;26;4144;34;35;2;1
26;2;24;12;31;12;4777;25;30;5;4
27;2;26;1;27;12;4777;24;23;4;3
28;1;24;2;28;23;4105;25;24;5;6
29;2;23;2;23;17;3245;23;23;6;6
30;2;23;1;43;21;3065;37;38;2;1
31;2;18;1;30;20;2586;25;25;2;1
32;1;24;1;31;26;3547;32;33;2;1
33;1;25;2;34;19;4345;35;35;5;6
34;2;24;1;32;11;2091;34;34;2;4
35;1;26;1;32;27;313;23;23;3;6
36;2;25;1;27;28;4214;25;26;2;1
37;2;29;2;36;12;4553;35;34;2;1
38;1;26;1;30;35;2928;34;28;3;2
39;1;24;2;27;19;365;30;24;2;2
40;1;24;2;32;26;2408;44;32;2;1
41;1;24;1;30;28;305;28;30;4;3
42;1;25;1;37;18;367;32;32;2;1
43;2;23;2;25;13;4157;24;23;4;1
44;2;25;2;27;17;425;25;26;5;5
45;2;18;1;42;16;704;43;40;2;1
46;2;17;2;31;20;268;26;24;2;1
47;2;20;2;26;14;3887;25;25;2;1
48;1;24;1;36;28;4805;40;47;2;1
49;1;26;2;26;30;5808;32;25;2;1
50;1;25;1;23;32;703;23;23;5;2
51;1;24;2;34;12;321;30;29;5;6
52;1;24;2;29;18;5067;28;27;4;4
53;1;22;1;25;36;2626;23;24;3;1
54;2;25;2;41;18;3482;44;34;1;0
55;2;30;1;32;24;1181;31;35;5;5
56;1;18;1;35;;;46;34;3;1
57;2;25;1;31;15;2638;31;30;6;5
58;2;35;2;36;18;2314;38;43;5;7
59;2;35;1;34;11;4061;34;35;4;7
60;1;25;2;31;25;7925;31;33;6;7
61;1;29;2;36;26;2818;25;26;6;1
62;1;31;2;37;15;904;35;31;2;2
63;1;25;1;27;24;4167;34;29;2;1
64;1;26;2;35;13;3995;34;33;5;7
65;1;45;2;27;11;5572;46;30;3;6
66;2;25;2;28;17;358;28;27;3;1
67;2;27;2;29;19;422;29;29;1;0
68;2;28;1;30;27;4891;27;26;4;7
69;1;49;2;28;17;2531;27;31;1;0
70;1;18;2;27;12;2405;23;23;3;1
71;1;19;2;31;25;2453;34;32;3;1
72;1;28;2;35;16;375;51;41;2;1
73;1;19;2;34;31;2938;19;36;1;5
74;2;27;2;29;17;3177;26;27;4;2
75;1;22;2;38;13;1234567;34;25;4;3
76;1;18;2;29;24;316;43;36;2;1
77;2;21;1;32;17;3733;38;36;5;7
78;2;18;2;31;14;1817;31;32;3;7
79;2;19;2;26;23;2473;25;25;1;0
80;2;18;2;37;11;2496;41;43;1;0
81;2;19;2;40;23;215;39;41;3;6
82;2;20;2;50;25;1542;54;59;1;0
83;2;22;1;36;19;1879;47;36;2;5
84;1;102;1;29;19;4105;34;18;1;0
85;1;30;2;38;34;6346;37;38;1;0
86;1;24;1;34;30;5738;35;35;4;5
87;1;18;2;38;31;3771;38;38;2;1
88;2;27;1;23;23;555;27;23;5;7
90;2;18;2;36;12;2204;34;31;3;3
